dfl12,dfl12bis,credit,debit,account_1,relationship,account_2,date,librae,solidi,denarii,lsd,tr_type,notes
100,280,dfl12_002,dfl12_102,Jacques della Faille_1,debtor,Cassa,15830714,12,8,7,12.8.7,,
100,280,dfl12_002,dfl12_102,Jacques della Faille_1,debtor,Cassa,15830714,151,1,4,151.1.4,,
100,280,dfl12_002,dfl12_102,Jacques della Faille_1,debtor,Cassa,15830719,3,16,8,3.16.8,,
100,280,dfl12_002,dfl12_102,Jacques della Faille_1,debtor,Cassa,15830720,129,14,2,129.14.2,,Payment Hans Engelbert
100,280,dfl12_002,dfl12_102,Jacques della Faille_1,debtor,Cassa,15830720,20,0,0,20.0.0,,
100,280,dfl12_185,dfl12_102,Jacques della Faille_1,debtor,Clement Caltrop,15830721,157,1,8,157.1.8,Wissel,
100,280,dfl12_002,dfl12_102,Jacques della Faille_1,debtor,Cassa,15830721,200,0,0,200.0.0,,
100,280,dfl12_002,dfl12_102,Jacques della Faille_1,debtor,Cassa,15830723,200,0,0,200.0.0,,Paid to himself
100,280,dfl12_002,dfl12_102,Jacques della Faille_1,debtor,Cassa,15830726,20,0,0,20.0.0,,Paid to himself
100,280,dfl12_002,dfl12_102,Jacques della Faille_1,debtor,Cassa,15830727,22,12,8,22.12.8,,Payment Hans Engelbert
100,280,dfl12_317,dfl12_102,Jacques della Faille_1,debtor,Oswaldus Cleynhaus ende company,15830825,146,11,6,146.11.6,Transport,
100,280,dfl12_078,dfl12_102,Jacques della Faille_1,debtor,Antonio van Neste_1,15830919,96,0,0,96.0.0,Wissel,
100,280,dfl12_102,dfl12_002,Jacques della Faille_1,creditor,Cassa,15831003,962,11,6.5,962.11.6 1/2,Loan,Received from Marten della Faille and to have an interest of 6.25%
100,280,dfl12_002,dfl12_102,Jacques della Faille_1,debtor,Cassa,15831026,9,9,0,9.9.0,,"For paintings and other goods, 'sekere schildereyen ende andere goeden'"
100,280,dfl12_002,dfl12_102,Jacques della Faille_1,debtor,Cassa,15831028,144,12,4.5,144.12.4 1/2,,Paid to himself
100,280,dfl12_002,dfl12_102,Jacques della Faille_1,debtor,Cassa,15831105,6,0,0,6.0.0,,
100,280,dfl12_102,dfl12_148,Jacques della Faille_1,creditor,Eduart van Ghistele,15831105,6,0,0,6.0.0,,
100,280,dfl12_102,dfl12_330,Jacques della Faille_1,creditor,Marten della Faille_1,15831116,154,1,4.5,154.1.4 1/2,,
100,280,dfl12_102,dfl12_055,Jacques della Faille_1,creditor,Ambrosius Goyvaerts_1,15831116,16,13,4,16.13.4,,
100,280,dfl12_316,dfl12_102,Jacques della Faille_1,debtor,Marten Ensberger nieuw rekening,15840315,32,0,7,32.0.7,Trade,
100,280,dfl12_102,dfl12_302,Jacques della Faille_1,creditor,Jacques della Faille_2,15840330,1,0,0,1.0.0,Accounting,To close the account
100,280,dfl12_454,dfl12_102,Jacques della Faille_1,debtor,Camerycx doek,15840730,9,10,0,9.10.0,,
100,280,dfl12_102,dfl12_344,Jacques della Faille_1,creditor,Jacques della Faille_paternal,15940930,23,18,3,23.18.3,Accounting,To close the account
101,NA,dfl12_001,dfl12_103,Canifassen overhoop,debtor,Balance on 8 November,15821108,108,17,4,108.17.4,,
104,NA,dfl12_001,dfl12_106,Jan de Reyer,debtor,Balance on 8 November,15821108,3,12,0,3.12.0,,
105,53,dfl12_001,dfl12_107,D'erffgenaemen van Simon Longin in Brussels,debtor,Balance on 8 November,15821108,754,14,6,754.14.6,,
105,53,dfl12_002,dfl12_107,D'erffgenaemen van Simon Longin in Brussels,debtor,Cassa,15821231,1,4,0,1.4.0,,Paid by Ambrosius Goyvaerts for reparatien done to the house in Brussels
105,53,dfl12_002,dfl12_107,D'erffgenaemen van Simon Longin in Brussels,debtor,Cassa,15830131,248,12,0,248.12.0,,Paid by Goyvaerts
105,53,dfl12_002,dfl12_107,D'erffgenaemen van Simon Longin in Brussels,debtor,Cassa,15830212,0,11,2,0.11.2,,Paid by Christiaen van Wiele
105,53,dfl12_107,dfl12_002,D'erffgenaemen van Simon Longin in Brussels,creditor,Cassa,15940912,75,16,8,75.16.8,,
105,53,dfl12_107,dfl12_002,D'erffgenaemen van Simon Longin in Brussels,creditor,Cassa,15940912,927,11,0,927.11.0,,Paid to Marten
106,54,dfl12_001,dfl12_108,Prince van Simay,debtor,Balance on 8 November,15821108,11,17,6,11.17.6,,
108,80,dfl12_001,dfl12_110,Voyagie van Verona,debtor,Balance on 8 November,15821108,5254,15,0,5254.15.0,,
108,80,dfl12_110,dfl12_096,Voyagie van Verona,creditor,Fyn syde,15830106,2750,9,8,2750.9.8,Goods,
108,80,dfl12_110,dfl12_077,Voyagie van Verona,creditor,Witte florette syde,15830106,300,18,10,300.18.10,Goods,
108,80,dfl12_110,dfl12_095,Voyagie van Verona,creditor,Florette syde,15830106,519,1,6,519.1.6,Goods,
108,80,dfl12_110,dfl12_095,Voyagie van Verona,creditor,Florette syde,15830205,239,1,10,239.1.10,Goods,
108,80,dfl12_068,dfl12_110,Voyagie van Verona,debtor,Napelse Syde,15830205,33,8,9,33.8.9,,
108,80,dfl12_111,dfl12_110,Voyagie van Verona,debtor,Voyagie van Venice,15830205,6147,15,8,6147.15.8,Wissel,
108,80,dfl12_110,dfl12_096,Voyagie van Verona,creditor,Fyn syde,15830205,804,0,8,804.0.8,Goods,
108,80,dfl12_110,dfl12_068,Voyagie van Verona,creditor,Napelse Syde,15830212,544,16,7,544.16.7,Goods,
108,80,dfl12_110,dfl12_325,Voyagie van Verona,creditor,Jan van Borne in Verona loopende rekeninge,15830219,2540,18,10.5,2540.18.10 1/2,,
108,80,dfl12_110,dfl12_095,Voyagie van Verona,creditor,Florette syde,15830510,306,6,10,306.6.10,Goods,
108,80,dfl12_110,dfl12_042,Voyagie van Verona,creditor,Fyn rouwe syde,15830510,410,15,7,410.15.7,Goods,
108,80,dfl12_110,dfl12_096,Voyagie van Verona,creditor,Fyn syde,15830510,924,6,11,924.6.11,Goods,
108,80,dfl12_110,dfl12_068,Voyagie van Verona,creditor,Napelse Syde,15830706,118,4,0,118.4.0,Goods,
108,80,dfl12_110,dfl12_267,Voyagie van Verona,creditor,Gaspar Losschaert_1,15830706,136,0,0,136.0.0,,
108,80,dfl12_110,dfl12_293,Voyagie van Verona,creditor,Gheeraert Corhase,15830706,40,0,0,40.0.0,,
108,80,dfl12_110,dfl12_096,Voyagie van Verona,creditor,Fyn syde,15830726,2487,4,8,2487.4.8,Goods,
108,80,dfl12_110,dfl12_042,Voyagie van Verona,creditor,Fyn rouwe syde,15830726,332,15,11,332.15.11,Goods,
108,80,dfl12_110,dfl12_095,Voyagie van Verona,creditor,Florette syde,15830726,606,16,7,606.16.7,Goods,
108,80,dfl12_325,dfl12_110,Voyagie van Verona,debtor,Jan van Borne in Verona loopende rekeninge,15830730,25,0,0,25.0.0,,
108,80,dfl12_110,dfl12_325,Voyagie van Verona,creditor,Jan van Borne in Verona loopende rekeninge,15830730,800,0,0,800.0.0,,
108,80,dfl12_110,dfl12_068,Voyagie van Verona,creditor,Napelse Syde,15831003,1,4,0,1.4.0,Goods,
108,80,dfl12_181,dfl12_110,Voyagie van Verona,debtor,Voyagie van Venice nieuwe rekening,15831030,4612,18,8,4612.18.8,Wissel,
108,80,dfl12_110,dfl12_210,Voyagie van Verona,creditor,Florette syde nieuw rekening,15840222,1085,17,8,1085.17.8,Goods,
108,80,dfl12_110,dfl12_042,Voyagie van Verona,creditor,Fyn rouwe syde,15840222,146,19,0,146.19.0,Goods,
108,80,dfl12_110,dfl12_042,Voyagie van Verona,creditor,Fyn rouwe syde,15840222,226,8,8,226.8.8,Goods,
108,80,dfl12_110,dfl12_209,Voyagie van Verona,creditor,Fyn syde nieuw rekeninge,15840222,818,17,4,818.17.4,Goods,
108,80,dfl12_110,dfl12_209,Voyagie van Verona,creditor,Fyn syde nieuw rekeninge,15841120,530,2,0,530.2.0,Goods,
108,80,dfl12_110,dfl12_210,Voyagie van Verona,creditor,Florette syde nieuw rekening,15841120,848,10,0,848.10.0,Goods,
108,80,dfl12_110,dfl12_181,Voyagie van Verona,creditor,Voyagie van Venice nieuwe rekening,15940905,1000,0,0,1000.0.0,Wissel,
108,80,dfl12_110,dfl12_209,Voyagie van Verona,creditor,Fyn syde nieuw rekeninge,15940905,685,12,4,685.12.4,Goods,
108,80,dfl12_110,dfl12_446,Voyagie van Verona,creditor,Voyagie van Verona nieuwe rekening,15940915,57,7,10,57.7.10,Accounting,
109,56,dfl12_001,dfl12_111,Voyagie van Venice,debtor,Balance on 8 November,15821108,23148,11,3.5,23148.11.3 1/2,,
109,56,dfl12_082,dfl12_111,Voyagie van Venice,debtor,Jacques de Wale_1,15821126,60,8,8,60.8.8,Wissel,
109,56,dfl12_043,dfl12_111,Voyagie van Venice,debtor,Peeter della Faille de Jonge,15830106,135,3,10,135.3.10,,
109,56,dfl12_065,dfl12_111,Voyagie van Venice,debtor,Lynwaeten,15830115,355,5,4.5,355.5.4 1/2,Goods,
109,56,dfl12_116,dfl12_111,Voyagie van Venice,debtor,Carseyen overhoop,15830115,4,4,0,4.4.0,Goods,
109,56,dfl12_116,dfl12_111,Voyagie van Venice,debtor,Carseyen overhoop,15830115,782,15,0,782.15.0,Goods,
109,56,dfl12_338,dfl12_111,Voyagie van Venice,debtor,Roelant Verbraken,15830115,90,8,0,90.8.0,Wissel,
109,56,dfl12_111,dfl12_331,Voyagie van Venice,creditor,Jan de Backere and Sevaes Wouters,15830117,1456,11,5,1456.11.5,Wissel,
109,56,dfl12_111,dfl12_161,Voyagie van Venice,creditor,Peeter and Jan van der Meert,15830205,320,0,0,320.0.0,Wissel,
109,56,dfl12_111,dfl12_162,Voyagie van Venice,creditor,Gillis Schops,15830205,6,5,0,6.5.0,Wissel,
109,56,dfl12_111,dfl12_083,Voyagie van Venice,creditor,Catharina de Hane,15830208,102,1,8,102.1.8,,
109,56,dfl12_111,dfl12_165,Voyagie van Venice,creditor,Jan Helduwier and Bernardino Paluasmo,15830208,245,0,0,245.0.0,Wissel,
109,56,dfl12_111,dfl12_164,Voyagie van Venice,creditor,Andrea Barretta_1,15830208,362,8,0,362.8.0,Wissel,
109,56,dfl12_111,dfl12_131,Voyagie van Venice,creditor,Mauritio Lanfranchi and Fabio Augustini_1,15830212,246,5,0,246.5.0,Wissel,
109,56,dfl12_111,dfl12_137,Voyagie van Venice,creditor,Jan Angelo Vergano_1,15830212,287,5,10,287.5.10,Wissel,
109,56,dfl12_116,dfl12_111,Voyagie van Venice,debtor,Carseyen overhoop,15830221,67,18,10,67.18.10,,
109,56,dfl12_065,dfl12_111,Voyagie van Venice,debtor,Lynwaeten,15830221,87,11,6,87.11.6,Goods,
109,56,dfl12_111,dfl12_068,Voyagie van Venice,creditor,Napelse Syde,15830222,75,9,10,75.9.10,Wissel,
109,56,dfl12_111,dfl12_177,Voyagie van Venice,creditor,Carel and Balthasar van Hoyken and Jan Jupin,15830323,126,14,4,126.14.4,Wissel,
109,56,dfl12_111,dfl12_132,Voyagie van Venice,creditor,Ludovico Perez,15830323,173,3,2,173.3.2,Wissel,
109,56,dfl12_111,dfl12_133,Voyagie van Venice,creditor,Gaspar Rouelasca_1,15830323,226,9,7,226.9.7,Wissel,
109,56,dfl12_111,dfl12_126,Voyagie van Venice,creditor,Fernando Ximenes and Ruy Nunez,15830323,24,10,9,24.10.9,Wissel,
109,56,dfl12_111,dfl12_331,Voyagie van Venice,creditor,Jan de Backere and Sevaes Wouters,15830512,111,7,10,111.7.10,Transportation,
109,56,dfl12_111,dfl12_268,Voyagie van Venice,creditor,Oncosten van conduitten,15830512,196,18,6,196.18.6,Transportation,
109,56,dfl12_111,dfl12_181,Voyagie van Venice,creditor,Voyagie van Venice nieuwe rekening,15830512,23357,15,5,23357.15.5,Accounting,In order to balance the account and create a new account
109,56,dfl12_111,dfl12_179,Voyagie van Venice,creditor,Piat della Faille,15830512,51,8,4,51.8.4,,
109,56,dfl12_111,dfl12_317,Voyagie van Venice,creditor,Oswaldus Cleynhaus ende company,15830512,85,8,4,85.8.4,Transportation,
110,97,dfl12_001,dfl12_112,Voyagie van London,debtor,Balance on 8 November,15821108,1872,5,0,1872.5.0,,
110,97,dfl12_112,dfl12_138,Voyagie van London,creditor,Thomas Eton,15821117,163,6,8,163.6.8,Wissel,
110,97,dfl12_112,dfl12_139,Voyagie van London,creditor,Emanuel Henricques,15821117,238,15,0,238.15.0,Wissel,
110,97,dfl12_112,dfl12_140,Voyagie van London,creditor,Tibere Peltier,15821123,246,17,6,246.17.6,Wissel,
110,97,dfl12_112,dfl12_130,Voyagie van London,creditor,Willem Touley,15821214,162,18,4,162.18.4,Wissel,
110,97,dfl12_112,dfl12_141,Voyagie van London,creditor,Thomas Monton,15830103,164,3,4,164.3.4,Wissel,
110,97,dfl12_112,dfl12_292,Voyagie van London,creditor,Jacques Noirot_1,15830103,224,10,5,224.10.5,,
110,97,dfl12_112,dfl12_116,Voyagie van London,creditor,Carseyen overhoop,15830103,755,13,11,755.13.11,Purchase,
110,97,dfl12_112,dfl12_166,Voyagie van London,creditor,Jan Japssens,15830209,400,0,0,400.0.0,Wissel,
110,97,dfl12_112,dfl12_129,Voyagie van London,creditor,Jaspar Dingens,15830221,163,6,8,163.6.8,Wissel,
110,97,dfl12_112,dfl12_169,Voyagie van London,creditor,Reynier Capcot,15830221,165,0,0,165.0.0,Wissel,
110,97,dfl12_112,dfl12_099,Voyagie van London,creditor,Lodewyck Blommaert_1,15830406,162,1,8,162.1.8,Wissel,
110,97,dfl12_112,dfl12_178,Voyagie van London,creditor,Adriaen Walschaert,15830406,162,1,8,162.1.8,Wissel,
110,97,dfl12_112,dfl12_099,Voyagie van London,creditor,Lodewyck Blommaert_1,15830406,88,9,0,88.9.0,Wissel,
110,97,dfl12_112,dfl12_076,Voyagie van London,creditor,Robert van Eeckeren_1,15830408,159,11,8,159.11.8,Wissel,
110,97,dfl12_112,dfl12_169,Voyagie van London,creditor,Reynier Capcot,15830408,162,1,8,162.1.8,Wissel,
110,97,dfl12_354,dfl12_112,Voyagie van London,debtor,Guilliam Marischal,15830408,19,4,0,19.4.0,Wissel,
110,97,dfl12_112,dfl12_128,Voyagie van London,creditor,Balthasar Bonters_1,15830426,241,17,6,241.17.6,Wissel,
110,97,dfl12_112,dfl12_169,Voyagie van London,creditor,Reynier Capcot,15830428,157,18,4,157.18.4,Wissel,
110,97,dfl12_112,dfl12_127,Voyagie van London,creditor,Hugo Janssen,15830429,160,8,4,160.8.4,Wissel,
110,97,dfl12_112,dfl12_128,Voyagie van London,creditor,Balthasar Bonters_1,15830430,127,19,7,127.19.7,Wissel,
110,97,dfl12_112,dfl12_121,Voyagie van London,creditor,Jan Gaultier and Geeraert Hemaert_1,15830430,160,8,4,160.8.4,Wissel,
110,97,dfl12_354,dfl12_112,Voyagie van London,debtor,Guilliam Marischal,15830507,8,5,2,8.5.2,Wissel,
110,97,dfl12_112,dfl12_182,Voyagie van London,creditor,Peeter Bisschop,15830512,161,17,6,161.17.6,Wissel,
110,97,dfl12_112,dfl12_124,Voyagie van London,creditor,Antonio Marischal,15830513,161,13,4,161.13.4,Wissel,
110,97,dfl12_112,dfl12_127,Voyagie van London,creditor,Hugo Janssen,15830513,192,10,0,192.10.0,Wissel,
110,97,dfl12_354,dfl12_112,Voyagie van London,debtor,Guilliam Marischal,15830527,24,0,0,24.0.0,Wissel,
110,97,dfl12_112,dfl12_184,Voyagie van London,creditor,Jan Cornelis or Jan Caillir,15830528,162,1,8,162.1.8,Wissel,
110,97,dfl12_112,dfl12_099,Voyagie van London,creditor,Lodewyck Blommaert_1,15830528,180,0,0,180.0.0,Wissel,
110,97,dfl12_112,dfl12_078,Voyagie van London,creditor,Antonio van Neste_1,15830528,96,0,0,96.0.0,Wissel,
110,97,dfl12_112,dfl12_119,Voyagie van London,creditor,Embrecht Pellicorne,15830531,80,0,0,80.0.0,Wissel,
110,97,dfl12_112,dfl12_185,Voyagie van London,creditor,Clement Caltrop,15830602,162,1,8,162.1.8,Wissel,
110,97,dfl12_112,dfl12_190,Voyagie van London,creditor,Jan Benedetto Invrea and Jan Bapta Logorio,15830609,160,12,6,160.12.6,Wissel,
110,97,dfl12_112,dfl12_188,Voyagie van London,creditor,Jacques Gabri,15830609,160,8,4,160.8.4,Wissel,
110,97,dfl12_112,dfl12_189,Voyagie van London,creditor,Jacques and Henrick Hoyel,15830609,160,8,4,160.8.4,Wissel,
110,97,dfl12_112,dfl12_192,Voyagie van London,creditor,Godefrido Houtappel,15830609,183,6,8,183.6.8,Wissel,
110,97,dfl12_112,dfl12_191,Voyagie van London,creditor,Jan Niclaes Walinstey,15830609,243,15,0,243.15.0,Wissel,
110,97,dfl12_112,dfl12_187,Voyagie van London,creditor,Franchoys ver Beke,15830703,178,5,10,178.5.10,Wissel,
110,97,dfl12_112,dfl12_195,Voyagie van London,creditor,James Wickers,15830704,159,11,8,159.11.8,Wissel,
110,97,dfl12_112,dfl12_196,Voyagie van London,creditor,Simon de le Bosquiel,15830704,159,3,4,159.3.4,Wissel,
110,97,dfl12_112,dfl12_197,Voyagie van London,creditor,Peeter des Marez,15830704,159,3,4,159.3.4,Wissel,
110,97,dfl12_112,dfl12_319,Voyagie van London,creditor,Jems Boel,15830704,159,3,4,159.3.4,Wissel,
110,97,dfl12_112,dfl12_099,Voyagie van London,creditor,Lodewyck Blommaert_1,15830726,174,18,10,174.18.10,Wissel,
110,97,dfl12_052,dfl12_112,Voyagie van London,debtor,Capitoen syde ende Hoffsaet,15830730,10,12,1,10.12.1,Sale,
110,97,dfl12_026,dfl12_112,Voyagie van London,debtor,Lynwaet in company with Gillis del Ponte and Hilaria della Faille,15830730,100,19,3,100.19.3,Sale,
110,97,dfl12_065,dfl12_112,Voyagie van London,debtor,Lynwaeten,15830730,1743,19,1,1743.19.1,Sale,
110,97,dfl12_096,dfl12_112,Voyagie van London,debtor,Fyn syde,15830730,18135,9,10,18135.9.10,Sale,
110,97,dfl12_068,dfl12_112,Voyagie van London,debtor,Napelse Syde,15830730,2373,13,2,2373.13.2,Sale,
110,97,dfl12_065,dfl12_112,Voyagie van London,debtor,Lynwaeten,15830730,2492,2,11,2492.2.11,Sale,
110,97,dfl12_040,dfl12_112,Voyagie van London,debtor,Lynwaeten for the rekening of Hilaria della Faille and Hester van Eeckeren,15830730,261,15,8,261.15.8,Sale,
110,97,dfl12_357,dfl12_112,Voyagie van London,debtor,Gout ende Silverdraet,15830730,27,2,6,27.2.6,Sale,
110,97,dfl12_042,dfl12_112,Voyagie van London,debtor,Fyn rouwe syde,15830730,360,18,4,360.18.4,Sale,
110,97,dfl12_048,dfl12_112,Voyagie van London,debtor,Lynwaet in the company of Willem van den Mey,15830730,416,7,3,416.7.3,Sale,
110,97,dfl12_044,dfl12_112,Voyagie van London,debtor,Camelotten overhoop,15830730,645,17,0,645.17.0,Sale,
110,97,dfl12_089,dfl12_112,Voyagie van London,debtor,Ardasse and Canarine syde van Marten della Faille and Jan de Wale,15830730,673,10,11,673.10.11,Sale,
110,97,dfl12_042,dfl12_112,Voyagie van London,debtor,Fyn rouwe syde,15830730,819,4,6,819.4.6,Sale,
110,97,dfl12_095,dfl12_112,Voyagie van London,debtor,Florette syde,15830730,9099,9,5,9099.9.5,Sale,
110,97,dfl12_112,dfl12_169,Voyagie van London,creditor,Reynier Capcot,15830804,160,16,8,160.16.8,Wissel,
110,97,dfl12_112,dfl12_137,Voyagie van London,creditor,Jan Angelo Vergano_1,15830826,158,2,6,158.2.6,Wissel,
110,97,dfl12_112,dfl12_183,Voyagie van London,creditor,Henrick van Lemens_1,15830826,158,2,6,158.2.6,Wissel,
110,97,dfl12_112,dfl12_205,Voyagie van London,creditor,Hendrick Poincter (Herry Pointer),15830826,159,3,4,159.3.4,Wissel,
110,97,dfl12_112,dfl12_037,Voyagie van London,creditor,Jaspar Celosse,15830826,19,4,8,19.4.8,Wissel,
110,97,dfl12_112,dfl12_206,Voyagie van London,creditor,Gysbrecht Boudeson_1,15830831,160,0,0,160.0.0,Wissel,
110,97,dfl12_112,dfl12_315,Voyagie van London,creditor,D'erffegaemen of Herman Pottey,15830919,1000,0,0,1000.0.0,Wissel,
110,97,dfl12_112,dfl12_208,Voyagie van London,creditor,Abraham Hogson,15830919,159,11,8,159.11.8,Wissel,
110,97,dfl12_112,dfl12_184,Voyagie van London,creditor,Jan Cornelis or Jan Caillir,15830919,315,16,8,315.16.8,Wissel,
110,97,dfl12_112,dfl12_198,Voyagie van London,creditor,Guilliam Walschaert,15831001,157,18,4,157.18.4,Wissel,
110,97,dfl12_112,dfl12_208,Voyagie van London,creditor,Abraham Hogson,15831014,158,15,0,158.15.0,Wissel,
110,97,dfl12_112,dfl12_198,Voyagie van London,creditor,Guilliam Walschaert,15831014,94,7,6,94.7.6,Wissel,
110,97,dfl12_112,dfl12_180,Voyagie van London,creditor,Simon and Steven Nunez,15831030,156,13,4,156.13.4,Wissel,
110,97,dfl12_112,dfl12_173,Voyagie van London,creditor,Jan Francisco Capello,15831030,156,9,2,156.9.2,Wissel,
110,97,dfl12_112,dfl12_125,Voyagie van London,creditor,Ritsaert Caterol,15831105,156,13,4,156.13.4,Wissel,
110,97,dfl12_112,dfl12_217,Voyagie van London,creditor,Jeronimo Schorza_1,15831105,156,9,2,156.9.2,Wissel,
110,97,dfl12_112,dfl12_218,Voyagie van London,creditor,Franchois le Fort_1,15831105,156,9,2,156.9.2,Wissel,
110,97,dfl12_112,dfl12_219,Voyagie van London,creditor,Joris Angliesie,15831105,156,9,2,156.9.2,Wissel,
110,97,dfl12_112,dfl12_220,Voyagie van London,creditor,Eduaert Cobbe,15831105,156,9,2,156.9.2,Wissel,
110,97,dfl12_112,dfl12_120,Voyagie van London,creditor,Bartholomeeus Peltier,15831105,158,10,10,158.10.10,Wissel,
110,97,dfl12_112,dfl12_208,Voyagie van London,creditor,Abraham Hogson,15831105,158,6,8,158.6.8,Wissel,
110,97,dfl12_112,dfl12_221,Voyagie van London,creditor,Sidiach Roo,15831105,158,6,8,158.6.8,Wissel,
110,97,dfl12_112,dfl12_121,Voyagie van London,creditor,Jan Gaultier and Geeraert Hemaert_1,15831105,312,18,4,312.18.4,Wissel,
110,97,dfl12_112,dfl12_182,Voyagie van London,creditor,Peeter Bisschop,15831110,157,1,8,157.1.8,Wissel,
110,97,dfl12_112,dfl12_117,Voyagie van London,creditor,Jan de Lannoy_1,15831110,158,15,0,158.15.0,Wissel,
110,97,dfl12_112,dfl12_223,Voyagie van London,creditor,Balthasar van Enthoven,15831110,158,15,0,158.15.0,Wissel,
110,97,dfl12_073,dfl12_112,Voyagie van London,debtor,Jan de Wale_1,15831116,105,5,5,105.5.5,,For his proceeds from the sale of Ardasse ende Canarine syde in company with Jan de Wale nieuw rekening
110,97,dfl12_212,dfl12_112,Voyagie van London,debtor,Ardasse ende Canarine syde in company with Jan de Wale nieuw rekening,15831116,105,5,5,105.5.5,Sale,
110,97,dfl12_073,dfl12_112,Voyagie van London,debtor,Jan de Wale_1,15831116,127,17,3,127.17.3,,For his proceeds from the sale of Camelotten in company with Jan de Wale
110,97,dfl12_214,dfl12_112,Voyagie van London,debtor,Camelotten in company with Jan de Wale,15831116,127,17,3,127.17.3,Sale,
110,97,dfl12_048,dfl12_112,Voyagie van London,debtor,Lynwaet in the company of Willem van den Mey,15831116,147,9,4,147.9.4,Sale,
110,97,dfl12_080,dfl12_112,Voyagie van London,debtor,Willem van den Mey_2,15831116,147,9,4,147.9.4,,For his proceeds from the sale of Lynwaet in the company of Willem van den Mey
110,97,dfl12_112,dfl12_196,Voyagie van London,creditor,Simon de le Bosquiel,15831116,159,11,8,159.11.8,Wissel,
110,97,dfl12_211,dfl12_112,Voyagie van London,debtor,Ardasse syde ende cleyn foullie nieuw rekeninge,15831116,214,7,9,214.7.9,Sale,
110,97,dfl12_068,dfl12_112,Voyagie van London,debtor,Napelse Syde,15831116,2633,13,3,2633.13.3,Sale,
110,97,dfl12_210,dfl12_112,Voyagie van London,debtor,Florette syde nieuw rekening,15831116,2981,8,9,2981.8.9,Sale,
110,97,dfl12_065,dfl12_112,Voyagie van London,debtor,Lynwaeten,15831116,3051,13,9,3051.13.9,Sale,
110,97,dfl12_112,dfl12_216,Voyagie van London,creditor,Jacques Gillis,15831116,316,3,7.5,316.3.7 1/2,Wissel,
110,97,dfl12_213,dfl12_112,Voyagie van London,debtor,Lynwaeten in company with Hilaria della Faille,15831116,333,10,9,333.10.9,Sale,
110,97,dfl12_040,dfl12_112,Voyagie van London,debtor,Lynwaeten for the rekening of Hilaria della Faille and Hester van Eeckeren,15831116,334,19,2,334.19.2,Sale,
110,97,dfl12_085,dfl12_112,Voyagie van London,debtor,Christalyne spiegels,15831116,51,15,3,51.15.3,Sale,
110,97,dfl12_209,dfl12_112,Voyagie van London,debtor,Fyn syde nieuw rekeninge,15831116,8930,13,7,8930.13.7,Sale,
110,97,dfl12_042,dfl12_112,Voyagie van London,debtor,Fyn rouwe syde,15831116,911,6,10,911.6.10,Sale,
110,97,dfl12_112,dfl12_145,Voyagie van London,creditor,Hans de Weert,15831212,158,10,10,158.10.10,Wissel,
110,97,dfl12_112,dfl12_146,Voyagie van London,creditor,Willem Walcker,15831212,158,15,0,158.15.0,Wissel,
110,97,dfl12_112,dfl12_223,Voyagie van London,creditor,Balthasar van Enthoven,15831212,158,15,0,158.15.0,Wissel,
110,97,dfl12_112,dfl12_117,Voyagie van London,creditor,Jan de Lannoy_1,15831212,160,8,4,160.8.4,Wissel,
110,97,dfl12_112,dfl12_207,Voyagie van London,creditor,Jan Wevel,15831212,160,8,4,160.8.4,Wissel,
110,97,dfl12_112,dfl12_118,Voyagie van London,creditor,Robert Collimor,15831212,240,12,6,240.12.6,Wissel,
110,97,dfl12_112,dfl12_080,Voyagie van London,creditor,Willem van den Mey_2,15831212,377,15,0,377.15.0,,For 4537 pounds of wool
110,97,dfl12_112,dfl12_144,Voyagie van London,creditor,Jan Simons,15831212,79,7,6,79.7.6,Wissel,
110,97,dfl12_089,dfl12_112,Voyagie van London,debtor,Ardasse and Canarine syde van Marten della Faille and Jan de Wale,15831215,265,7,2,265.7.2,Sale,
110,97,dfl12_217,dfl12_112,Voyagie van London,debtor,Jeronimo Schorza_1,15831215,78,4,7,78.4.7,Wissel,
110,97,dfl12_103,dfl12_112,Voyagie van London,debtor,Canifassen overhoop,15831215,98,17,6,98.17.6,Sale,
110,97,dfl12_112,dfl12_435,Voyagie van London,creditor,Hugo Over,15831228,159,11,8,159.11.8,Wissel,
110,97,dfl12_112,dfl12_442,Voyagie van London,creditor,Jeronimo Schorza_2,15840112,156,5,0,156.5.0,Wissel,
110,97,dfl12_112,dfl12_438,Voyagie van London,creditor,Ritsaert Ware,15840121,155,16,8,155.16.8,Wissel,
110,97,dfl12_112,dfl12_438,Voyagie van London,creditor,Ritsaert Ware,15840121,157,10,0,157.10.0,Wissel,
110,97,dfl12_112,dfl12_208,Voyagie van London,creditor,Abraham Hogson,15840121,157,5,10,157.5.10,Wissel,
110,97,dfl12_112,dfl12_424,Voyagie van London,creditor,Balthasar Bonters_2,15840121,167,8,8,167.8.8,Wissel,
110,97,dfl12_112,dfl12_117,Voyagie van London,creditor,Jan de Lannoy_1,15840121,236,5,0,236.5.0,Wissel,
110,97,dfl12_112,dfl12_428,Voyagie van London,creditor,Thomas Loddel,15840127,119,7,4,119.7.4,Wissel,
110,97,dfl12_112,dfl12_421,Voyagie van London,creditor,Hersten Henry Smit,15840127,157,18,4,157.18.4,Wissel,
110,97,dfl12_112,dfl12_144,Voyagie van London,creditor,Jan Simons,15840127,77,18,4,77.18.4,Wissel,
